feature,importance
A,127148.4
fe10,87416.2
back_from_scrimmage,82256.8
Orientation,81863.4
def_min_dist,73632.0
Dir,66697.2
def_mean_dist,56612.8
Y,56556.0
min_dist,56445.4
fe11,49747.8
Diff_Score,47396.4
mean_dist,41559.6
max_dist,39438.0
S,38690.4
fe8,38606.8
def_std_dist,38466.6
std_dist,36281.6
Dis,35150.8
X,32418.0
Distance,31804.0
fe5,30552.0
fe1,28463.6
YardLine,20182.4
def_max_dist,17523.4
fe7,15375.2
DefendersInTheBox,13483.4
Quarter,11967.4
num_LB,7364.4
OL_TE_diff,7107.8
num_WR,6360.0
OL_diff,5889.8
num_TE,5884.8
Down,5703.0
num_DB,5031.4
num_DL,4594.4
num_RB,3532.0
num_OL,1655.4
back_moving_down_field,1640.4
OffenseFormation,1156.8
back_oriented_down_field,522.8
run_def,451.6
num_QB,321.6
4th_behind,283.6
4th_above,51.8
