file,CV_score,LB
base_1124_001.py,0.012506999999999999,0.0
base_1124_002.py,0.0125252,
base_1124_003.py,0.012546219018814942,
base_1124_004.py,0.0125226,
base_1124_005.py,0.012504200000000002,
base_1124_006.py,0.0125054,
base_1124_005.py,0.0127766,
base_1124_007.py,0.0135356,
base_1124_008.py,0.012506999999999999,
base_1125_001.py,0.012407799999999998,
base_1125_002.py,0.012403399999999998,0.0133
base_1125_003.py,0.0124282,
base_1125_004.py,0.012376,0.0135
base_1125_005.py,0.012401399999999998,
base_1125_006.py,0.0123914,
base_1126_001.py,0.0124056,
base_1126_002.py,0.0123644,
base_1126_003.py,0.0123308,+1.5
base_1126_004.py,0.012347600000000002,+2.0
base_1126_005.py,0.0123218,+1.5+2.0
base_1126_006.py,0.012327800000000002,+0.5
base_1126_007.py,0.0122524,+0.5+1.5
base_1126_008.py,0.0122528,+0.5+1.5+2.0
base_1126_009.py,0.01227,
base_1126_010.py,0.0123964,
base_1126_011.py,0.012274,
base_1126_011.py,0.0122934,
base_1126_102.py,0.0122274,0.01312(0.5_1.5)
base_1126_103.py,0.0122314,
base_1126_105.py,0.0122312,
base_1126_105.py,0.0122662,
base_1126_106.py,0.0122312,
base_1126_108.py,0.0122364,
base_1127_001.py,0.0123746,0.1_0.2
base_1127_001.py,0.0123794,0.1_0.3
base_1127_001.py,0.0123334,0.1_0.4
base_1127_001.py,0.0123646,0.2_0.3
base_1127_001.py,0.0123354,0.2_0.4
base_1127_001.py,0.012322399999999999,0.4_0.6
base_1127_001.py,0.0123138,0.4_0.8
base_1127_001.py,0.0122756,0.4_1.2
base_1127_001.py,0.0122952,0.4_1.2
base_1127_001.py,0.0122714,0.5_3.0
base_1127_001.py,0.012297,0.5_3.0
base_1127_001.py,0.0122808,0.5_3.0
base_1127_003.py,0.0122204,5
base_1127_004.py,0.0122178,10
base_1127_005.py,0.0122134,15
base_1127_006.py,0.012194400000000001,20
base_1127_007.py,0.012223200000000002,25
base_1127_008.py,0.0122334,5_10_15_20
base_1127_009.py,0.0122062,5_10_20
base_1127_010.py,0.0122096,5_20
base_1127_010_2.py,0.012222399999999998,10_20
base_1127_011_sub.py,0.012209200000000002,
base_1127_010_3.py,0.0123104,
base_1127_010_3.py,0.0123024,
base_1127_011_sub.py,0.0121926,
